"Genotype","Plot","Stand.count","Leaf.count","Date.of.emergence","PlantingDate","DAP","week"
"Hp301",899,16,"9",2021-06-23,2021-05-20,34,"5"
"Hp301",658,18,"9",2021-06-23,2021-05-20,34,"5"
"Ki11",782,17,"12",2021-06-30,2021-05-20,41,"6"
"Ki11",1158,18,"11",2021-06-28,2021-05-20,39,"6"
"Ki11",743,15,"12",2021-07-01,2021-05-20,42,"6"
"Ki11",1063,18,"11",2021-06-28,2021-05-20,39,"6"
"Ki11",1121,18,"10.5",2021-06-28,2021-05-20,39,"6"
"Ki11",1100,17,"10.5",2021-06-28,2021-05-20,39,"6"
"Ki11",724,18,"11",2021-07-01,2021-05-20,42,"6"
"Ki11",801,17,"12",2021-06-30,2021-05-20,41,"6"
"Ki3",804,15,"12",2021-07-01,2021-05-20,42,"6"
"Ki3",1073,13,"13",2021-07-04,2021-05-20,45,"7"
"Ki3",1090,18,"13",2021-07-04,2021-05-20,45,"7"
"Ki3",1148,15,"12",2021-06-28,2021-05-20,39,"6"
"Ki3",1131,19,"13",2021-07-06,2021-05-20,47,"7"
"Ki3",746,16,"13",2021-07-06,2021-05-20,47,"7"
"Ki3",721,17,"12",2021-07-04,2021-05-20,45,"7"
"Ki3",779,17,"12",2021-07-04,2021-05-20,45,"7"
"Ky21",873,18,"8",2021-06-24,2021-05-20,35,"5"
"Ky21",931,17,"8.5",2021-06-24,2021-05-20,35,"5"
"Ky21",485,16,"8.5",2021-06-24,2021-05-20,35,"5"
"Ky21",884,16,"9",2021-06-25,2021-05-20,36,"6"
"Ky21",518,16,"9",2021-06-24,2021-05-20,35,"5"
"Ky21",543,18,"8.5",2021-06-24,2021-05-20,35,"5"
"Ky21",576,18,"10",2021-06-28,2021-05-20,39,"6"
"Ky21",826,14,"8.5",2021-06-24,2021-05-20,35,"5"
"L163",978,18,"9",2021-06-23,2021-05-20,34,"5"
"L163",751,17,"9",2021-06-25,2021-05-20,36,"6"
"L163",809,13,"9",2021-06-24,2021-05-20,35,"5"
"L163",774,18,"9",2021-06-24,2021-05-20,35,"5"
"L163",953,15,"9",2021-06-23,2021-05-20,34,"5"
"L163",1011,18,"9",2021-06-24,2021-05-20,35,"5"
"L163",1036,18,"9",2021-06-24,2021-05-20,35,"5"
"L163",716,18,"9",2021-06-24,2021-05-20,35,"5"
"LH211",717,18,"8",2021-06-23,2021-05-20,34,"5"
"LH211",1072,17,"9",2021-06-23,2021-05-20,34,"5"
"LH211",1149,17,"8.5",2021-06-23,2021-05-20,34,"5"
"LH211",1130,18,"8.5",2021-06-23,2021-05-20,34,"5"
"LH211",808,12,"8",2021-06-23,2021-05-20,34,"5"
"LH211",1091,16,"9",2021-06-23,2021-05-20,34,"5"
"LH211",750,17,"8",2021-06-23,2021-05-20,34,"5"
"LH211",775,16,"8",2021-06-23,2021-05-20,34,"5"
"LH252",1097,12,"10",2021-06-28,2021-05-20,39,"6"
"LH252",807,12,"8",2021-07-04,2021-05-20,45,"7"
"LH252",749,12,"10",2021-07-04,2021-05-20,45,"7"
"LH252",1066,16,"10",2021-07-01,2021-05-20,42,"6"
"LH252",1124,15,"8",2021-06-25,2021-05-20,36,"6"
"LH252",718,12,"9",2021-07-01,2021-05-20,42,"6"
"LH252",776,16,"9",2021-06-30,2021-05-20,41,"6"
"LH252",1155,16,"10",2021-06-28,2021-05-20,39,"6"
"M162W",874,18,"10.5",2021-06-28,2021-05-20,39,"6"
"M162W",825,18,"11",2021-06-30,2021-05-20,41,"6"
"M162W",629,17,"11",2021-07-04,2021-05-20,45,"7"
"M162W",883,17,"11",2021-06-28,2021-05-20,39,"6"
"M162W",932,16,"10.5",2021-06-28,2021-05-20,39,"6"
"M162W",606,17,"12",2021-06-30,2021-05-20,41,"6"
"M162W",687,17,"12",2021-06-30,2021-05-20,41,"6"
"M162W",664,17,"10",2021-06-28,2021-05-20,39,"6"
"M37W",486,15,"11",2021-06-30,2021-05-20,41,"6"
"M37W",517,16,"10",2021-06-28,2021-05-20,39,"6"
"M37W",544,15,"10",2021-06-28,2021-05-20,39,"6"
"M37W",924,18,"11",2021-07-01,2021-05-20,42,"6"
"M37W",833,15,"10.5",2021-06-30,2021-05-20,41,"6"
"M37W",575,17,"10",2021-06-30,2021-05-20,41,"6"
"M37W",891,16,"10",2021-06-28,2021-05-20,39,"6"
"M37W",866,16,"11",2021-06-30,2021-05-20,41,"6"
"Mo17",1098,15,"8",2021-06-24,2021-05-20,35,"5"
"Mo17",752,16,"8",2021-06-24,2021-05-20,35,"5"
"Mo17",773,17,"9",2021-06-25,2021-05-20,36,"6"
"Mo17",810,15,"9",2021-06-25,2021-05-20,36,"6"
"Mo17",1123,17,"8",2021-06-24,2021-05-20,35,"5"
"Mo17",715,16,"9",2021-06-25,2021-05-20,36,"6"
"Mo17",1156,16,"8",2021-06-24,2021-05-20,35,"5"
"Mo17",1065,17,"9",2021-06-24,2021-05-20,35,"5"
"Mo18W",522,18,"11",2021-06-25,2021-05-20,36,"6"
"Mo18W",580,19,"12",2021-06-30,2021-05-20,41,"6"
"Mo18W",995,17,"10",2021-06-25,2021-05-20,36,"6"
"Mo18W",994,17,"12.5",2021-06-30,2021-05-20,41,"6"
"Mo18W",1052,18,"13",2021-06-30,2021-05-20,41,"6"
"Mo18W",481,18,"11",2021-06-24,2021-05-20,35,"5"
"Mo18W",539,16,"13",2021-06-30,2021-05-20,41,"6"
"Mo18W",937,17,"13",2021-06-30,2021-05-20,41,"6"
"Ms71",1167,17,"9.5",2021-06-25,2021-05-20,36,"6"
"Ms71",747,14,"9",2021-06-28,2021-05-20,39,"6"
"Ms71",1109,16,"10",2021-06-28,2021-05-20,39,"6"
"Ms71",1054,16,"9.5",2021-06-24,2021-05-20,35,"5"
"Ms71",1112,16,"9.5",2021-06-24,2021-05-20,35,"5"
"Ms71",720,15,"10.5",2021-06-28,2021-05-20,39,"6"
"Ms71",805,13,"10",2021-06-28,2021-05-20,39,"6"
"Ms71",778,16,"10",2021-06-28,2021-05-20,39,"6"
"NC262",985,16,"9",2021-06-23,2021-05-20,34,"5"
"NC262",946,18,"9",2021-06-23,2021-05-20,34,"5"
"NC262",1043,16,"8.5",2021-06-24,2021-05-20,35,"5"
"NC262",653,17,"8 5",2021-06-23,2021-05-20,34,"5"
"NC262",1004,17,"9",2021-06-23,2021-05-20,34,"5"
"NC262",698,16,"9.5",2021-06-23,2021-05-20,34,"5"
"NC262",640,16,"8.5",2021-06-24,2021-05-20,35,"5"
"NC262",595,18,"9",2021-06-23,2021-05-20,34,"5"
"NC350",817,16,"13",2021-07-04,2021-05-20,45,"7"
"NC350",1120,18,"13",2021-07-04,2021-05-20,45,"7"
"NC350",766,15,"12",2021-07-04,2021-05-20,45,"7"
"NC350",1101,18,"13",2021-07-04,2021-05-20,45,"7"
"NC350",1062,15,"11",2021-06-25,2021-05-20,36,"6"
"NC350",708,16,"13",2021-07-04,2021-05-20,45,"7"
"NC350",1159,17,"12",2021-06-30,2021-05-20,41,"6"
