"Genotype","Plot.ID","Plant","Side","num_whorls","w1","w2","w3","w4","root_angle_deg","stalk_width_cm","single_root_width_cm","spread_width_cm","root_heightonstalk_cm"
"SA24","1336","06","A",1,9,0,0,0,27.8491284996532,2.06215655430712,0.3233822721598,3.96477827715356,1.80749063670412
"SA24","1285","14","A",1,11,0,0,0,36.8579770553829,1.835785,0.458611111111111,4.58745166666667,1.83444444444444
"SA24","1336","10","A",1,8,0,0,0,46.138804479167,2.78119973684211,0.389756315789474,6.39067342105263,1.73789473684211
"SA24","1285","10","A",1,12,0,0,0,33.0255283302111,2.14275775404124,0.256473696235791,5.00818301250928,2.17627234820358
"SA24","1336","04","A",1,5,0,0,0,46.9149929542238,1.28015135410769,1.20692199187436,1.5114373839017,0.109335214084442
"SA24","1336","12","A",1,8,0,0,0,56.9551513598419,2.72296097370815,0.396672153159787,7.39875254472214,1.45774678390436
"SA24","1336","11","A",1,10,0,0,0,40.9639373177146,2.69806548271578,0.498885478330775,5.38972666812833,1.57787035006943
"SA24","1285","03","A",1,9,0,0,0,40.356784031572,2.92435322831152,0.47906783891724,11.0960860883071,4.84316063900599
"SA24","1336","08","A",1,10,0,0,0,34.0568015083751,2.2062728884999,0.468019439390101,4.37086279567911,1.62344243038441
"SA24","1336","02","A",1,10,0,0,0,29.3007915331011,2.09543377555723,0.394451262399651,4.18997429118867,1.87892605078703
"SA24","1285","13","A",1,16,0,0,0,40.9853137674302,2.21426636874534,0.366084873721985,4.36403954228452,1.23611957478502
"Shoe Peg","1298","03","A",2,9,4,0,0,36.8226022384345,2.05840711304502,0.630460660687328,6.3439945386733,2.90404937394548
"Shoe Peg","1337","07","A",2,6,10,0,0,49.4863133074482,1.90537352941176,0.417605882352941,10.7953735294118,3.69794117647059
"Shoe Peg","1337","11","A",2,8,11,0,0,62.3975021126399,2.00121212121212,0.523432424242424,12.0842424242424,2.63621212121212
"Shoe Peg","1298","01","A",2,7,8,0,0,43.9905114137293,1.27,1.27,6.02189067230251,4.49944307991089
"Shoe Peg","1337","01","A",1,9,0,0,0,55.1951362397608,2.63236449099691,0.316201491570591,8.90750929918389,2.16222218109814
"Shoe Peg","1337","10","A",3,8,6,1,0,55.9898576392584,2.20671529881067,0.564871832754672,10.1342472482825,2.67378296520647
"Shoe Peg","1337","09","A",2,6,8,0,0,36.8818446742799,1.99472826086957,0.543836086956522,8.45516304347826,4.30695652173913
"Shoe Peg","1298","04","A",2,8,16,0,0,31.5022215318029,2.50069401260804,0.562383546795219,10.2894380580198,6.24910859457455
"Shoe Peg","1298","02","A",2,8,12,0,0,24.6980328023659,2.42827680634395,0.607268448526685,7.10152323359101,4.94494680092421
"Shoe Peg","1337","05","A",1,11,0,0,0,50.1435010408516,2.25470064516129,0.524632903225806,12.1279264516129,4.0558064516129
"Tx303","1265","02","A",2,8,1,0,0,51.0876115332396,2.23195146690436,0.452714042016936,5.95984032334906,1.50286618820022
"Tx303","1265","05","A",1,8,0,0,0,54.3995997888692,2.30572203789265,0.449022915439238,9.09895593661819,2.32348289869453
"Tx303","1397","06","A",1,4,0,0,0,38.8559014627151,1.95366268292683,0.323385365853659,10.1002480487805,5.06451219512195
"Tx303","1397","07","A",1,5,0,0,0,40.1346814950356,2.12629769434809,0.310956947561722,8.68230667210773,3.88696184452153
"Tx303","1265","09","A",1,9,0,0,0,59.1126999906517,1.60421052631579,0.490353684210526,5.20873294346978,1.06947368421053
"Tx303","1397","11","A",1,5,0,0,0,58.7881910164155,1.80879473028307,0.736567054095984,7.2997787329281,1.67959510669142
"Tx303","1397","12","A",1,5,0,0,0,47.6615333953374,1.62498048780488,0.423323946784922,9.28440399113082,3.49179600886918
"Tx303","1265","11","A",1,7,0,0,0,31.4366935515388,2.15892747519452,0.46667445927618,7.57562388464559,4.43081233492755
"Tx303","1265","07","A",2,3,8,0,0,40.709298683927,1.89399313194981,0.293692691918892,7.67118288041862,3.33226794315276
"Tx303","1397","14","A",1,8,0,0,0,45.6330201878356,1.76076026007087,0.297108087653514,12.9014943754515,5.00240806357288
"Tx303","1397","05","A",1,5,0,0,0,35.5630267450718,1.82641522185542,0.798458319253464,9.65023056328143,5.46346598736711
"Tx303","1265","03","A",1,9,0,0,0,60.6913472645088,1.61207897276034,0.475818748608328,5.08094262599273,0.970904772507979
"Tx303","1265","08","A",1,7,0,0,0,65.2441500134523,1.83378524127983,0.6210318318909,7.84988149095201,1.37391817466562
"Tx303","1397","02","A",1,6,0,0,0,23.264446758583,2.85185317692387,0.690769204306994,12.1576428497712,10.8785991950187
"Tx303","1397","08","A",1,4,0,0,0,34.1712114852117,1.13670928227389,0.174070880656479,5.29024439555212,3.06795207230778
"Tx303","1265","12","A",1,7,0,0,0,30.2957642903639,2.10258630576901,0.438953516949847,6.90933019841725,4.12006619369849
"Tx303","1397","04","A",1,3,0,0,0,42.2263841294127,1.30039669055182,0.165844906552412,7.04668464209204,3.16632193248135
"Tx303","1397","01","A",1,3,0,0,0,31.5060547091258,1.92375692307692,0.498133076923077,7.98068,5.0148717948718
"Tx303","1265","01","A",2,6,4,0,0,37.6602800871812,2.20292835830371,0.470545803707466,8.89477701244286,4.23279583544947
"Tx303","1265","06","A",1,8,0,0,0,61.3744994448657,1.96559985074627,0.37338,7.38679388059701,1.47850746268657
"Tx303","1397","10","A",1,6,0,0,0,24.9431256893767,1.20140813321456,0.207784180770419,4.68756494391827,3.31300332672835
"Tx303","1397","03","A",1,8,0,0,0,56.574389468918,1.96157297617764,0.438277999353239,9.90163980812763,2.61816858898351
"Tx303","1397","09","A",1,5,0,0,0,32.8960221805462,1.28863122476447,0.3453247452413,5.85486848682946,3.49182849452028
"Tx303","1265","04","A",2,3,10,0,0,46.0913362012617,2.08922341506797,0.385328261974336,9.35005431330199,3.38838775250921
"Tx303","1265","10","A",1,9,0,0,0,66.643284049065,2.12399062457844,0.582554465128828,9.21238263860785,1.47764063132335
"Tzi8","1270","02","A",1,3,0,0,0,34.1775679848843,2.04777321853819,0.592216889540209,5.49089466935336,2.32643341271295
"Tzi8","1352","11","A",2,5,0,0,0,24.3273663230434,1.78778918889073,0.566419579261222,7.08208547291701,5.8552813207443
"Tzi8","1270","14","A",1,7,0,0,0,34.0385648082613,2.09366766169154,0.706398009950249,7.27476218905473,3.8226368159204
"Tzi8","1384","12","A",2,8,5,0,0,24.1514593842038,1.84811679732229,0.447850347925658,9.13796676355736,8.10086908012567
"Tzi8","1352","13","A",2,2,0,0,0,19.0072929013259,1.885870625,0.482838125,11.133058125,13.414375
"Tzi8","1384","13","A",1,8,0,0,0,23.6176152482702,2.39731772754712,0.487902385583652,8.7434844724663,7.25479017148479
"Tzi8","1270","07","A",1,7,0,0,0,45.2748718549033,2.26457565217391,0.751011739130435,7.39979304347826,2.54
"Tzi8","1384","01","A",1,7,0,0,0,44.4190268846123,2.07926416573176,0.438602714042017,13.1848597642503,5.65038651277874
"Tzi8","1352","05","A",2,2,0,0,0,23.3124750599809,1.56454236493613,0.684077991327786,7.85277628032345,7.12542482128208
"Tzi8","1270","05","A",2,5,2,0,0,39.9361820910403,1.8288,0.594614,5.9944,2.4892
